'org_id';'dt';'amount'
7;2022.01.01;524
8;2022.01.01;845
10;2022.01.01;227
11;2022.01.01;454
12;2022.01.01;695
15;2022.01.01;385
16;2022.01.01;722
17;2022.01.01;954
18;2022.01.01;857
19;2022.01.01;904
20;2022.01.01;478
21;2022.01.01;897
22;2022.01.01;688
7;2022.01.02;938
8;2022.01.02;501
10;2022.01.02;448
11;2022.01.02;437
12;2022.01.02;452
15;2022.01.02;600
16;2022.01.02;731
17;2022.01.02;710
18;2022.01.02;729
19;2022.01.02;578
20;2022.01.02;753
21;2022.01.02;501
22;2022.01.02;788
7;2022.01.03;629
8;2022.01.03;687
10;2022.01.03;294
11;2022.01.03;440
12;2022.01.03;634
14;2022.01.03;618
15;2022.01.03;285
16;2022.01.03;661
17;2022.01.03;872
18;2022.01.03;780
19;2022.01.03;846
20;2022.01.03;594
21;2022.01.03;734
7;2022.01.04;703
8;2022.01.04;498
10;2022.01.04;212
11;2022.01.04;600
12;2022.01.04;986
15;2022.01.04;950
16;2022.01.04;901
17;2022.01.04;434
18;2022.01.04;387
19;2022.01.04;353
20;2022.01.04;834
21;2022.01.04;919
22;2022.01.04;863
7;2022.01.05;563
8;2022.01.05;497
11;2022.01.05;616
12;2022.01.05;864
14;2022.01.05;284
15;2022.01.05;244
16;2022.01.05;551
17;2022.01.05;378
18;2022.01.05;484
19;2022.01.05;986
20;2022.01.05;796
21;2022.01.05;569
7;2022.01.06;647
8;2022.01.06;668
11;2022.01.06;349
12;2022.01.06;493
14;2022.01.06;263
15;2022.01.06;884
16;2022.01.06;996
17;2022.01.06;561
18;2022.01.06;896
19;2022.01.06;596
20;2022.01.06;547
21;2022.01.06;846
7;2022.01.07;497
8;2022.01.07;781
11;2022.01.07;233
12;2022.01.07;650
14;2022.01.07;615
15;2022.01.07;952
16;2022.01.07;513
17;2022.01.07;979
18;2022.01.07;448
19;2022.01.07;929
20;2022.01.07;843
21;2022.01.07;533
7;2022.01.08;973
8;2022.01.08;394
11;2022.01.08;711
12;2022.01.08;457
14;2022.01.08;380
15;2022.01.08;507
16;2022.01.08;826
17;2022.01.08;826
18;2022.01.08;976
19;2022.01.08;976
20;2022.01.08;319
21;2022.01.08;238
8;2022.01.09;859
